#Firmware: Speeduino 2022.04-dev
ToothTime,Time
uS,uS
1056.0,2108796.0
1056.0,2109852.0
1056.0,2110908.0
1036.0,2111944.0
1052.0,2112996.0
1048.0,2114044.0
1056.0,2115100.0
1060.0,2116160.0
1044.0,2117204.0
1060.0,2118264.0
1048.0,2119312.0
1064.0,2120376.0
1052.0,2121428.0
1064.0,2122492.0
1036.0,2123528.0
1056.0,2124584.0
1056.0,2125640.0
1056.0,2126696.0
1044.0,2127740.0
1048.0,2128788.0
1064.0,2129852.0
1016.0,2130868.0
1064.0,2131932.0
1076.0,2133008.0
1036.0,2134044.0
1044.0,2135088.0
1064.0,2136152.0
1076.0,2137228.0
1060.0,2138288.0
1056.0,2139344.0
1060.0,2140404.0
1072.0,2141476.0
1060.0,2142536.0
3176.0,2145712.0
1060.0,2146772.0
1076.0,2147848.0
1064.0,2148912.0
1072.0,2149984.0
1064.0,2151048.0
1076.0,2152124.0
1068.0,2153192.0
1076.0,2154268.0
1064.0,2155332.0
1088.0,2156420.0
1060.0,2157480.0
1080.0,2158560.0
1068.0,2159628.0
1068.0,2160696.0
1064.0,2161760.0
1092.0,2162852.0
1052.0,2163904.0
1092.0,2164996.0
1072.0,2166068.0
1100.0,2167168.0
1084.0,2168252.0
1084.0,2169336.0
1080.0,2170416.0
1096.0,2171512.0
1084.0,2172596.0
MARK 003
1064.0,2173660.0
1048.0,2174708.0
1052.0,2175760.0
1040.0,2176800.0
1068.0,2177868.0
1056.0,2178924.0
1028.0,2179952.0
1056.0,2181008.0
1052.0,2182060.0
1040.0,2183100.0
1044.0,2184144.0
1060.0,2185204.0
1052.0,2186256.0
1048.0,2187304.0
1056.0,2188360.0
1072.0,2189432.0
1056.0,2190488.0
1064.0,2191552.0
1044.0,2192596.0
1072.0,2193668.0
1052.0,2194720.0
1040.0,2195760.0
1068.0,2196828.0
1052.0,2197880.0
1032.0,2198912.0
1060.0,2199972.0
1040.0,2201012.0
1040.0,2202052.0
1040.0,2203092.0
1048.0,2204140.0
1036.0,2205176.0
1044.0,2206220.0
1028.0,2207248.0
1048.0,2208296.0
1040.0,2209336.0
1036.0,2210372.0
1008.0,2211380.0
1044.0,2212424.0
1036.0,2213460.0
1044.0,2214504.0
1036.0,2215540.0
1024.0,2216564.0
1056.0,2217620.0
1028.0,2218648.0
1068.0,2219716.0
1024.0,2220740.0
1064.0,2221804.0
1044.0,2222848.0
1040.0,2223888.0
1036.0,2224924.0
1072.0,2225996.0
3132.0,2229128.0
1048.0,2230176.0
1048.0,2231224.0
1064.0,2232288.0
1072.0,2233360.0
1044.0,2234404.0
1072.0,2235476.0
1060.0,2236536.0
1076.0,2237612.0
1072.0,2238684.0
1060.0,2239744.0
1072.0,2240816.0
1076.0,2241892.0
1068.0,2242960.0
1068.0,2244028.0
1072.0,2245100.0
1076.0,2246176.0
1076.0,2247252.0
1084.0,2248336.0
1064.0,2249400.0
1100.0,2250500.0
1076.0,2251576.0
1088.0,2252664.0
1076.0,2253740.0
1100.0,2254840.0
1080.0,2255920.0
1084.0,2257004.0
1076.0,2258080.0
1080.0,2259160.0
1072.0,2260232.0
1076.0,2261308.0
1064.0,2262372.0
1072.0,2263444.0
1072.0,2264516.0
1060.0,2265576.0
1060.0,2266636.0
1040.0,2267676.0
1092.0,2268768.0
1036.0,2269804.0
1052.0,2270856.0
1064.0,2271920.0
1056.0,2272976.0
1056.0,2274032.0
1056.0,2275088.0
1036.0,2276124.0
1052.0,2277176.0
1064.0,2278240.0
1076.0,2279316.0
1052.0,2280368.0
1060.0,2281428.0
1060.0,2282488.0
1060.0,2283548.0
1068.0,2284616.0
1068.0,2285684.0
1060.0,2286744.0
1072.0,2287816.0
1060.0,2288876.0
1064.0,2289940.0
3148.0,2293088.0
1060.0,2294148.0
1048.0,2295196.0
1024.0,2296220.0
1068.0,2297288.0
1016.0,2298304.0
1060.0,2299364.0
1040.0,2300404.0
1032.0,2301436.0
1032.0,2302468.0
1040.0,2303508.0
1016.0,2304524.0
1048.0,2305572.0
1012.0,2306584.0
1044.0,2307628.0
1024.0,2308652.0
1028.0,2309680.0
1024.0,2310704.0
MARK 004
3112.0,2313816.0
1052.0,2314868.0
1032.0,2315900.0
1068.0,2316968.0
1052.0,2318020.0
1044.0,2319064.0
1056.0,2320120.0
1044.0,2321164.0
1064.0,2322228.0
1044.0,2323272.0
1060.0,2324332.0
1060.0,2325392.0
1052.0,2326444.0
1036.0,2327480.0
1068.0,2328548.0
1036.0,2329584.0
1064.0,2330648.0
1056.0,2331704.0
1052.0,2332756.0
1064.0,2333820.0
1060.0,2334880.0
1068.0,2335948.0
1068.0,2337016.0
1056.0,2338072.0
1068.0,2339140.0
1056.0,2340196.0
1072.0,2341268.0
1060.0,2342328.0
1068.0,2343396.0
1068.0,2344464.0
1056.0,2345520.0
1060.0,2346580.0
1080.0,2347660.0
1056.0,2348716.0
1076.0,2349792.0
1072.0,2350864.0
1044.0,2351908.0
1076.0,2352984.0
1076.0,2354060.0
1056.0,2355116.0
1080.0,2356196.0
1060.0,2357256.0
1068.0,2358324.0
1076.0,2359400.0
1064.0,2360464.0
1072.0,2361536.0
1076.0,2362612.0
1072.0,2363684.0
1088.0,2364772.0
1076.0,2365848.0
1084.0,2366932.0
1068.0,2368000.0
1096.0,2369096.0
1080.0,2370176.0
1092.0,2371268.0
1068.0,2372336.0
1088.0,2373424.0
1072.0,2374496.0
3216.0,2377712.0
1068.0,2378780.0
1052.0,2379832.0
1044.0,2380876.0
1056.0,2381932.0
1040.0,2382972.0
1072.0,2384044.0
1052.0,2385096.0
1044.0,2386140.0
1052.0,2387192.0
1044.0,2388236.0
1044.0,2389280.0
1056.0,2390336.0
1040.0,2391376.0
1052.0,2392428.0
1032.0,2393460.0
1052.0,2394512.0
1028.0,2395540.0
1056.0,2396596.0
1056.0,2397652.0
1048.0,2398700.0
1040.0,2399740.0
1064.0,2400804.0
1052.0,2401856.0
1064.0,2402920.0
1052.0,2403972.0
1064.0,2405036.0
1048.0,2406084.0
1052.0,2407136.0
1052.0,2408188.0
1064.0,2409252.0
1052.0,2410304.0
1072.0,2411376.0
1056.0,2412432.0
1064.0,2413496.0
1060.0,2414556.0
1080.0,2415636.0
1072.0,2416708.0
1076.0,2417784.0
1060.0,2418844.0
1084.0,2419928.0
1060.0,2420988.0
1084.0,2422072.0
1092.0,2423164.0
1060.0,2424224.0
1076.0,2425300.0
1084.0,2426384.0
1076.0,2427460.0
1088.0,2428548.0
1080.0,2429628.0
1092.0,2430720.0
1084.0,2431804.0
1088.0,2432892.0
1088.0,2433980.0
1096.0,2435076.0
1084.0,2436160.0
1092.0,2437252.0
1088.0,2438340.0
3248.0,2441588.0
