#Firmware: Speeduino 2022.04-dev
PriLevel,SecLevel,Trigger,Sync,RefTime,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms,ms
0.0,1.0,0.0,1.0,250295.48,0.48,250295.48
1.0,1.0,0.0,1.0,250296.08,0.604,250296.08
0.0,1.0,0.0,1.0,250296.56,0.476,250296.56
1.0,1.0,0.0,1.0,250297.19,0.624,250297.19
0.0,1.0,0.0,1.0,250297.64,0.456,250297.64
1.0,1.0,0.0,1.0,250298.27,0.628,250298.27
0.0,1.0,0.0,1.0,250298.75,0.484,250298.75
1.0,1.0,0.0,1.0,250299.36,0.608,250299.36
0.0,1.0,0.0,1.0,250299.86,0.496,250299.86
1.0,1.0,0.0,1.0,250300.45,0.604,250300.45
0.0,1.0,0.0,1.0,250300.95,0.492,250300.95
1.0,1.0,0.0,1.0,250301.58,0.62,250301.58
0.0,1.0,0.0,1.0,250302.05,0.472,250302.05
1.0,1.0,0.0,1.0,250403.02,100.972,250403.02
MARK 009
0.0,1.0,0.0,1.0,250403.53,0.508,250403.53
1.0,1.0,0.0,1.0,250404.19,0.656,250404.19
0.0,1.0,0.0,1.0,250404.69,0.508,250404.69
1.0,1.0,0.0,1.0,250405.33,0.636,250405.33
0.0,1.0,0.0,1.0,250405.8,0.476,250405.8
1.0,1.0,0.0,1.0,250406.45,0.66,250406.45
0.0,1.0,0.0,1.0,250406.95,0.496,250406.95
1.0,1.0,0.0,1.0,250407.61,0.648,250407.61
0.0,1.0,0.0,1.0,250408.11,0.5,250408.11
1.0,1.0,0.0,1.0,250408.75,0.644,250408.75
0.0,1.0,0.0,1.0,250409.27,0.516,250409.27
1.0,1.0,0.0,1.0,250409.89,0.632,250409.89
0.0,1.0,0.0,1.0,250410.39,0.5,250410.39
1.0,1.0,0.0,1.0,250411.03,0.636,250411.03
0.0,1.0,0.0,1.0,250411.53,0.504,250411.53
1.0,1.0,0.0,1.0,250412.17,0.636,250412.17
0.0,1.0,0.0,1.0,250412.69,0.52,250412.69
1.0,1.0,0.0,1.0,250413.31,0.628,250413.31
0.0,1.0,0.0,1.0,250413.84,0.52,250413.84
1.0,1.0,0.0,1.0,250414.47,0.632,250414.47
0.0,1.0,0.0,1.0,250414.97,0.496,250414.97
1.0,1.0,0.0,1.0,250415.61,0.644,250415.61
0.0,1.0,0.0,1.0,250416.11,0.504,250416.11
1.0,1.0,0.0,1.0,250416.77,0.648,250416.77
0.0,1.0,0.0,1.0,250417.28,0.516,250417.28
1.0,1.0,0.0,1.0,250417.9,0.632,250417.9
0.0,1.0,0.0,1.0,250418.44,0.524,250418.44
1.0,1.0,0.0,1.0,250419.06,0.628,250419.06
0.0,1.0,0.0,1.0,250419.58,0.508,250419.58
1.0,1.0,0.0,1.0,250420.22,0.648,250420.22
0.0,1.0,0.0,1.0,250420.73,0.516,250420.73
1.0,1.0,0.0,1.0,250421.38,0.64,250421.38
0.0,1.0,0.0,1.0,250421.89,0.512,250421.89
1.0,1.0,0.0,1.0,250422.53,0.644,250422.53
0.0,1.0,0.0,1.0,250423.06,0.524,250423.06
1.0,1.0,0.0,1.0,250423.69,0.636,250423.69
0.0,1.0,0.0,1.0,250424.2,0.516,250424.2
